7/10/14,95.46,30455960,93.75,95.55,93.52
7/9/14,95.39,36267350,95.44,95.95,94.76
7/8/14,95.35,65111960,96.27,96.8,93.92
7/7/14,95.968,54809030,94.14,95.99,94.1
7/3/14,94.03,22891750,93.67,94.1,93.2
7/2/14,93.48,28414310,93.865,94.06,93.09
7/1/14,93.52,38156280,93.52,94.07,93.13
6/30/14,92.93,49474230,92.1,93.725,92.09
6/27/14,91.98,61758200,90.82,92,90.77
6/26/14,90.9,32528680,90.37,91.05,89.8
6/25/14,90.36,36835900,90.21,90.7,89.65
6/24/14,90.28,38977670,90.75,91.74,90.19
6/23/14,90.83,43611710,91.32,91.62,90.6
6/20/14,90.91,100478600,91.85,92.55,90.9
6/19/14,91.86,35476080,92.29,92.3,91.3389
6/18/14,92.18,33314720,92.27,92.29,91.35
6/17/14,92.08,29684620,92.31,92.7,91.8
6/16/14,92.2,35371460,91.51,92.75,91.45
6/13/14,91.28,54406640,92.2,92.44,90.88
6/12/14,92.29,54628650,94.04,94.12,91.9
6/11/14,93.86,45528740,94.13,94.76,93.47
6/10/14,94.25,62563070,94.73,95.05,93.57
6/9/14,93.7,75295450,92.7,93.88,91.75
6/6/14,92.2243,87403076,92.8428,93.0371,92.0671
6/5/14,92.4785,75796583,92.3143,92.7671,91.8014
6/4/14,92.1171,83735285,91.0628,92.5557,90.8728
6/3/14,91.0771,73043412,89.78,91.2485,89.75
6/2/14,89.8071,92179668,90.5657,90.69,88.9285
5/30/14,90.4285,140860202,91.14,92.0243,89.8428
5/29/14,90.7685,93737728,89.6928,90.9814,89.6814
5/28/14,89.1443,78793704,89.4314,89.9757,89.1114
5/27/14,89.3757,86840486,87.9828,89.4085,87.9471
5/23/14,87.7328,57918367,86.75,87.8184,86.6385
5/22/14,86.7528,50142667,86.6571,87.1214,86.3
5/21/14,86.6157,49184983,86.2614,86.6714,86.0085
5/20/14,86.3871,58232373,86.3585,86.6285,85.8185
5/19/14,86.37,78819884,85.4071,86.7614,85.3328
5/16/14,85.3585,68960136,84.09,85.3614,83.6285
5/15/14,84.1171,57427744,84.9571,85.2285,84.0057
5/14/14,84.8385,41505203,84.6328,85.3428,84.5343
5/13/14,84.8228,39854512,84.5714,84.9343,84.3857
5/12/14,84.69,53184042,83.9271,84.8085,83.9143
5/9/14,83.6489,72767192,83.5057,83.75,82.9043
5/8/14,83.9985,57243511,84.0357,84.9157,83.7714
5/7/14,84.6185,70532231,85.0357,85.3271,83.9614
5/6/14,84.9157,93468228,85.9714,86.3442,84.9157
5/5/14,85.8514,71523851,84.3057,85.8571,84.2857
5/2/14,84.6543,47673150,84.62,84.8857,84.2443
5/1/14,84.4971,60958860,84.5714,84.9714,83.7657
4/30/14,84.2985,114029614,84.6628,85.6328,84.2571
4/29/14,84.6185,84049445,84.82,85.14,84.2157
4/28/14,84.87,167001640,81.8285,85.1071,81.7928
4/25/14,81.7057,97435199,80.6471,81.7128,80.5657
4/24/14,81.11,189588407,81.1728,81.4285,80.1043
4/23/14,74.9643,93473618,75.58,75.8757,74.9214
4/22/14,75.957,50607747,75.4728,75.9751,75.2144
4/21/14,75.8814,45546494,75.0485,76.02,74.8514
4/17/14,74.9914,70978621,74.2857,75.3943,74.1714
4/16/14,74.1443,52515794,74.0071,74.4414,73.4479
4/15/14,73.9942,66461884,74.3243,74.52,73.0471
4/14/14,74.5257,51252748,74.5571,74.5943,73.8871
4/11/14,74.23,67920698,74.1428,74.69,73.8771
4/10/14,74.7828,59701814,75.8114,76.0343,74.7385
4/9/14,75.76,51357706,74.6628,75.7843,74.5743
